url,content,graph
http://churchillglass.co.uk,"
 ; Fast Emergency Glaziers Croydon CR0 | All Glazing Surrey | South East ;  FREEPHONE  0800 032 6218 |  ;  MOBILE: 07852 928 921 ; Home ; Domestic Glazing ; Commercial Glazing ; Locations Covered ; Other Services ; Contact ; Menu ; FAST EMERGENCY GLAZIERS ;  24 HOUR, EMERGENCY GLAZIERS AND BOARDING UP SERVICE ; Reliable & professional glazing company – offering a high quality 24 hour fast emergency glaziers service to both  ; domestic ;  and  ; commercial ;  customers at a very competitive price.  Same day single glass and double glazed unit replacement. ; BEST PRICE GUARANTEED ; Quick Dial ; Contact us today ; Name  ; * ; E-Mail  ; * ; Message  ; * ; FAMILY RUN BUSINESS ; Our expertise extends over all aspects within the industry. ; FREE CALL-OUTS AND QUOTATIONS ; Fast Emergency Glaziers – Covering Croydon, Wimbledon, Streatham, Orpington, London, Surrey and everywhere in between. ; RELIABLE SERVICES ; Our fast response services can be relied upon time and time again. ; At Churchill Glass we only advertise in a 5 mile radius from our base, ensuring you get a local glazier at the best price! ; We have been in the industry for over 25 years, offering an extensive selection of glass and glazing services to meet the window, mirror and glass needs of our customers.  At Churchill Glass we pride ourselves on our excellent reputation offering a high quality, fast and efficient service to both  ; domestic ;  and  ; commercial ;  customers at very low prices. ; Most importantly as a reliable & professional glazing company we always provide punctual, high quality new windows and glazing services.  Our aim is to ensure all our customers receive a friendly, honest, reliable and trusted glazing service. ; Our glazier specialists have a wealth of knowledge and experience in the industry that helps them to provide you with a high level of workmanship and customer service.   At Churchill Glass we work on a variety of projects, from the smallest mirrors and windows to glass replacements, shop fronts, doors and windows. No job is too small. We always offer the same high standard of service at a competitive price. ; If you are looking for a professional, fast emergency glazier then why not give us a call.  ; Even if you would just like some professional advice about the best options for you, we are always here to help. ; Conservatory  ; Restoration  ; Before ; Conservatory ; After ; 24 HOUR FAST EMERGENCY GLAZING ; SAFETY/ FIRE GLASS ; BOARDING UP SERVICE ; Cat Flaps Fitted ; LEAD LIGHTS ; PATIO DOORS ; MIRRORS ; GLASS SHELVES & TABLE TOPS ; DOUBLE / TRIPLE GLAZING ; FOR MORE INFORMATION ON OUR SERVICES, PLEASE CALL US TODAY ON ANY OF THE NUMBERS BELOW: ; Mobile ; 0785 292 8921 ; Telephone ; 0208 654 0754 ; Freephone ; 0800 032 6218 ; WHY CHOOSE US? ; Friendly, Reliable & Honest Team ; All Work Guaranteed ; Helpful Staff & Advice Available ; © Copyright – Churchill Glass 2019 ; FREE QUOTES & ADVICE ; We will happily provide you with all the time and expertise you need to ensure your glazing project is professionally taken care of. ; CONTACT US ; 0208 654 0754 ; 0800 032 6218 ; 0785 292 8921 ; Scroll to top ; 
",DiGraph with 134 nodes and 132 edges
http://www.ppwoniu.com,For full functionality of this site it is necessary to enable JavaScript. Here are the  ; instructions how to enable JavaScript in your web browser ; .,DiGraph with 0 nodes and 0 edges
http://www.hansecom.com,"  ; IT + Software Lösungen für den ÖPNV - HanseCom | HanseCom Public Transport Ticketing Solutions GmbH ; English ; English ;  Lösungen  ;  Deutschlandticket App  ;  Mobilitätsplattform  ;  Abo-Online  ;  Für Privatkunden  ;  Abo auf dem Handy  ;  Für Schülerverkehre  ;  Für Großkunden  ;  Für Service-Center  ;  Self-Service-Terminal  ;  PT  ;  PTnova  ;  PTCloud  ;  PTnova BI  ;  HandyTicket Deutschland  ;  App  ;  Ticketshop  ;  Abo auf dem Handy  ;  Referenzen  ;  Referenzvideos  ;  Referenzberichte  ;  Unsere Kunden  ;  Karriere  ;  Zur Stellenbörse  ;  Professionals  ;  Young Professionals  ;  Studis, Azubis & Co.  ;  Über uns  ;  Leitbild  ;  Management-Team  ;  INIT Gruppe  ;  Mitgliedschaften  ;  HanseCom Forum  ;  Rückblick HanseCom Forum 2022  ;  Best of Video  ;  Stimmen zum HanseCom Forum  ;  Impressionen  ;  Save the Date  ;  Anmeldung 2023  ;  Über das HanseCom Forum  ;  Sponsoren  ;  News  ;  Pressemitteilungen  ;  Stammkunden gewinnen  ;  Näher am Kunden  ;  Digitalisierung JETZT!  ;  Chancen für neue Mobilität  ;  Kontakt  ;  Ansprechpartner  ;  Kontaktformular  ; Die Zukunft der Mobilität gestalten ; HanseCom, ein Unternehmen der INIT-Gruppe, entwickelt Softwarelösungen für den öffentlichen Personennahverkehr (ÖPNV). Wir sind Experte für überregionales, mobiles Ticketing, Mobilitätsplattformen und Kundenmanagementsysteme. ; Mit langjähriger Branchenerfahrung unterstützen wir mehr als 60 Verkehrsunternehmen und –verbünde bei der Steuerung ihrer Vertriebsprozesse und dem Vertrieb mobiler Tickets. ; Deutschlandticket App ; Der schnellste Weg zum Deutschlandticket ; Mobilitätsplattform ; Mobilitätsangebote kundenorientiert kombinieren und orchestrieren ; HandyTicket Deutschland ; Mobiler Vertrieb über eine überregionale Plattform ; Abo-Online ; Abo-Verwaltung in Echtzeit ; PTnova ; Kundendaten zentral verwalten, Vertriebsprozesse effizient steuern ; News ;  03. April 2023  ;  Hamburg – Endlich geht es los: Heute startet der offizielle Vorverkauf des Deutschlandtickets. Einen besonders einfachen…  ;  16. Februar 2023  ;  Hamburg – HanseCom hat das Gütesiegel „Hamburgs beste Arbeitgeber 2023“ erhalten. Der Anbieter von Softwarelösungen…  ;  31. Januar 2023  ;  Hamburg – Die klassischen Abo-Modelle des ÖPNV geraten immer stärker unter Druck. Wie Verkehrsunternehmen dennoch Stammkunden…  ;  alle News  ; Referenzen ; Mit langjähriger Branchenerfahrung liefern wir wirtschaftliche, innovative und attraktive Mobilitätslösungen und stellen dies als verlässlicher Partner mehr als 60 Verkehrsunternehmen täglich unter Beweis.  ; Kontakt ; HanseCom Public Transport ; Ticketing Solutions GmbH ; Amsinckstraße 34 ; 20097 Hamburg ; +49 1520 9073406 ; hallo@hansecom.com ; Datenschutz ; Nutzungsbedingungen ; Compliance ; Impressum ;  ",DiGraph with 154 nodes and 152 edges
http://costimp.it,"
 ; Impresa di Costruzioni Piacenza Lodi – Ristrutturazioni Civili Industriali capannoni rustici riqualificazione energetica ; Home ; Storia ; Ambiti ; Contatti ; Seleziona una pagina ;  ; 0523 691670 ;  ; info@costimp.it ; Home ; Storia ; Ambiti ; Contatti ; CONTATTACI ; I nostri servizi ; Copyright 2023 |  ; Costruzioni ed Impianti Srl ; 
Sede: Via Riglio, 16 - 29122 Piacenza (PC), Registro Imprese C.F. e P.IVA 00103450334, CCIAA/REA: PC 18202, Cap.Sociale: 50.000€,  ; Tel: 0523 691670 ; ,  ; Fax: 0523 328247 ; ,  ; Mail: info@costimp.it ; ,  ; PEC: costimp@pec.costimp.it ;  -   ; Privacy policy ;  -  ; Preferenze cookie ; 
",DiGraph with 60 nodes and 59 edges
http://ortesia.com,"  ; Ortesia Pain Relief & Skin Care CBD Products ; (612) 804-7700‬ ; 0 Items ; HOME ; PAIN RELIEF ; SKIN CARE ; BLOG ; ABOUT ; ABOUT US ; Ingredients ; Formulations ; Testimonials ; Certificates of Analysis ; FAQs ; Select Page ; WELCOME TO ; Ortesia ;  Naturals ; SHOP PAIN RELIEF ; SHOP SKIN CARE ; CALL US ; 612-804-7700‬ ; FOLLOW US ; facebook.com/OrtesiaCBD/ ; EMAIL US ; info@ortesia.com ; PURE | EFFECTIVE | TRUSTED ; Our Philosophy ; Ortesia’s philosophy is to be your trusted brand for CBD products by offering superior quality CBD products that are formulated with the highest quality organic CBD, Cannabidiol,essential oils and  other natural ingredients. Together our formulations are designed for deeper skin penetration and delivery into the body. ; This means that when using Ortesia CBD you are not exposing your body to harsh chemicals or synthetic ingredients that may be harmful to your health. We use a third party to test our products and the resulting lab results are available to the customer. All ingredients used in our CBD creams are grown, extracted, and formulated in the USA. ; SHOP PAIN RELIEF ; SHOP SKIN CARE ; Free Shipping ; All Order Over $75 ; Customer Support ; Support 24/7 ; Security Payment ; 100% Secure ; Easy Refunds ; Exchange & Return ; Ortesia Personal Care Products ; SPA ; Shop Products ; FACIALS ; Shop Products ; MASSAGE ; Shop Products ; PAIN RELIEF ; Shop Products ; Latest News ; Why Do Athletes use CBD for Sports Injuries? ; Why Do Athletes use CBD for Sports Injuries? Professional athletes and people just dedicated to... ; Can CBD Reduce or Replace Opioid Use? ; The evidence regarding CBD’s interaction with the brain and pain-signaling can help eliminate pain on two levels, by blocking pain signals from reaching the brain. ; Can You use CBD for Neuropathy? ; Can You use CBD for Neuropathy?Clinical trials and research continue to yield positive results. A recent study on CBD... ; Testimonial ; “I love walking to keep in shape but on a recent visit to a friends house in Naples Florida I took an evening walk. The next day I woke up with welts from chigger bites and all I wanted to do was scratch. Instead I put the 1000 mg Ortesia Organic CBD Cream and it relieved the itching. Another positive side benefit I noticed was this velvety cream that helped keep my skin from drying. I found that putting the 1000 mg CBD cream on 2-3 times a day kept the itch at bay. Thank you for a great product! I will be sure to keep this in stock.” ; Elisa Pershing ; Pittsburgh ; Information ; Why Ortesia ; Shipping & Returns ; Terms & Conditions ; Privacy Policy ; Wholesale ; Wholesale Login ; Wholesale Application ; Want to see more? ; Ortesia Blog ; Location ; Naples, FL 34104 ; Get In Touch ; (612) 804-7700‬  ; Contact Us By Email ; Follow Me ; Follow ; Follow ; Follow ; Must be 18 or older to purchase from Ortesia LLC ; Subscribe Now ; Be notified of sales or release new products, and get a monthly update from Ortesia ; Leave this field empty if you're human:  ; Home ; Pain Relief ; Skin Care ; YOUR CART ; Checkout ; CBD Blog ; About Us ;  Back ; Why Ortesia CBD? ; Contact Us ; FAQs ; Testimonials ;  Back ; Must be 18 or older to purchase from Ortesia LLC ;  × Close Panel  ;  ",DiGraph with 153 nodes and 151 edges
http://www.afit.ro,"
 ; AFIT România |  ; AFIT România ; Acasă ; Demersuri legislative ; AFIT propune aplicarea măsurilor fiscale și economice la toate categoriile afectate de COVID-19 ; Răspunsul AFIT privind criticile aduse de Ministerul Justiției firmelor de traduceri ; Poziția AFIT cu privire la proiectul de lege privind traducătorii și interpreții judiciari inițiat de Ministerul Justiției ; Memoriu iunie 2013 ; Evenimente ; Legal Translation in the 21st Century – Specific Skills, Specific Issues – 2021 ; Tematică ; Vorbitori ; Organizatori ; Înregistrare ; Traducerea automată – perspective și limitări – 2019 ; Tematică ; Vorbitori ; Organizatori ; Înregistrare ; Forumul Traducerilor 2016 ; Tematică ; Vorbitori ; Organizatori ; Înregistrare ; Forumul Traducerilor 2013 ; Growing together 2012 ; Masa rotundă din februarie 2011 ; Studiu de piață ; Câteva informații din analiza răspunsurilor primite ; Chestionar ; Despre AFIT ; Fuziunea AFIT – ABTR ; Calitate ; Codul etic ; Informații administrative ; EUATC ; Contact ; Membrii AFIT ; Alătură-te AFIT ; Eligibilitate ; 
Legal Translation in the 21st Century – Specific Skills, Specific Issues ; 
#TranslatingEurope ; 
Workshop 2021 ; AFIT solicită poziția Ministerului Justiției cu privire la legalizarea semnăturii traducătorului pentru documentele originale în format electronic ; Deschide  ; articolul ;  sau descarcă și citește  ; solicitarea AFIT (fișier PDF) ; . ; AFIT propune aplicarea măsurilor fiscale și economice la toate categoriile afectate de COVID-19 ; Deschide  ; articolul ;  sau descarcă și citește  ; propunerea AFIT (fișier PDF) ; . ; 
Traducerea automată – perspective și limitări ; 
#TranslatingEurope ; 
Workshop 2019 ; Despre noi ; AFIT ROMÂNIA - Asociaţia Firmelor de Interpretariat şi Traduceri din România a fost înfiinţată în anul 2005. ; Citește mai departe ; Înscrieți-vă în AFIT ; Prin aderarea la AFIT România, compania dumneavoastră de interpretariat şi/sau traduceri se alătură singurei organizații de profil din România. ; Citește mai departe ; EUATC ; AFIT ROMÂNIA este membră cu drepturi depline şi unic reprezentant al României în EUATC, începând din anul 2005. ; Citește mai departe ; Studiu de piață ; În intervalul noiembrie - decembrie 2011 AFIT România a întreprins o cercetare online privind piața de traduceri și interpretariat din România. ; La chestionarul transmis au răspuns 48 de firme de profil. O parte din datele pe care le-am obținut sunt publicate  ; aici ; . ; Cercetarea pe care am pornit-o are un caracter permanent, astfel că firmele de traduceri și interpretariat care doresc să participe la studiu pot să completeze chestionarul  ; urmărind acest link ; . Firmele care completează chestionarul au acces la  ; întregul raport ;  al primei runde de cercetare. ; Codul de etică al profesiei ; Membrii organizației respectă un cod de valori în exercitarea profesiei. ; Credem că nicio breaslă nu se poate dezvolta fără un set de valori morale la care să adere. ; Scopul Codului îl constituie promovarea unei conduite etice care să contribuie la împlinirea scopului AFIT de dezvoltare a pieţei de interpretariat şi traduceri prin orientarea acesteia către servicii de calitate, precum şi la realizarea obiectivelor propuse şi asumate prin statutul Asociaţiei. ; Familiarizați-vă cu normele noastre etice  ; aici ; Luați rapid legătura cu noi ; Nume ; Email ; Mesaj ; Trimiteți o copie a mesajului și la dvs. ; Dacă vreți să trimiteți formularul, lăsați acest câmp gol ; Contact ; Harta site-ului ; Termeni și condiții ; Angajament de confidențialitate ; AFIT România ;  © 2023 (c) ; Credite pentru site ; 
",DiGraph with 154 nodes and 153 edges
http://www.phone580.com,蜂助手-以数字科技助力便捷生活 ; You need to enable JavaScript to run this app.,DiGraph with 0 nodes and 0 edges
http://www.garage-gatti.fr,"Mécanique générale, Saint-Alban, Toulouse, Aucamville - GARAGE GATTI - Nettoyage filtre à particuliers, Carrossier ; Garage  ; Gatti ; 
Motion &  ; e ; -Motion
 ; Garage  ; Gatti ; Adresse et contact ;  13 Route De Fronton ; 31140 ; SAINT ALBAN ;  Tél :  ; 09 70 35 35 87 ; 
Email :  ; gattichristian@wanadoo.fr ; 
Heures d'ouverture
 ; Lun - Ven ; 8h - 12h | 13h30 - 18h30 ; Sam - Dim ; Fermé ; Pour plus d’informations,  ; Cliquez ici ; Rappel gratuit ; Accueil ; Mécanique ; Carrosserie ; TECHNIFAP : Filtre à particules ; FIXALU - Réparation / Rénovation jante alu ; VN / VO ; Nos agréments ; Nos prestations ; Entretien auto ; Nettoyage FAP ; Entretien filtre a particule ; Rénovation jante alu ; Garage Peugeot ; Carrosserie / Pare-brise ; Avis ; Newsletter ; Garage  ; Gatti ; Contact ; Garage automobile toutes marques à Saint Alban ; GARAGE GATTI ;  vous reçoit à Saint-Alban en Haute-Garonne (31). Notre garage est certifié Agent Peugeot ! ; DEPUIS 1987 ; Garage automobile à Saint-Alban : mécanique générale et carrosserie ; Rendez-vous à notre garage pour  ; l’entretien ;  de votre véhicule. Nous sommes certifiés « Garage Peugeot », mais nous intervenons sur toutes les voitures de marque française. ; De la simple vidange à un diagnostic complet, toutes les opérations sont effectuées minutieusement afin de maintenir votre véhicule en bon état sur le long terme. ; Nous sommes spécialisés dans le  ; nettoyage ;  et  ; l’entretien de FAP ;  (filtre à particule), ainsi que la  ; rénovation de jantes alu ; . En plus de l’entretien mécanique, nous proposons aussi des services de carrosserie. Nous répondons également à vos demandes de dépannage rapide, en cas d’urgence. ; Nous effectuons l’entretien de toutes voitures de marque française dans notre garage situé à Saint-Alban ; LIRE SUR LE NETTOYAGE FAP ; Avec plus de 30 ans d’expérience dans le milieu de l’automobile, le GARAGE GATTI est votre partenaire de confiance pour la réparation et l’entretien de votre voiture toutes marques ! ; Un garage automobile fiable à Saint-Alban ; En nous faisant confiance pour l’entretien de votre voiture, vous bénéficiez des services de garagistes confirmés et fiables. Nous disposons d’un atelier moderne et bien équipé. ; En tant qu’ ; agent Peugeot ; , nous bénéficions de l’expertise de la marque. À cela, s’ajoute une expérience longue de plus de 25 ans dans la réparation et l’entretien automobile. Que vous soyez un particulier ou un professionnel, confiez-nous votre véhicule en toute quiétude. ; À votre écoute, nous restons attentifs à vos demandes afin d’y répondre efficacement. ; Bénéficiez du savoir-faire d’un expert Peugeot dans notre garage situé à Saint-Alban ; LIRE SUR LA RÉNOVATION JANTE ALU ; L’expérience ; 
Nous possédons plus de 25 ans d’expérience dans le domaine de l’automobile.
 ; Rapidité ; Nos garagistes sont connus pour leurs compétences et la rapidité de leurs interventions. ; Prêt de véhicule ; 
Afin de vous permettre de garder votre mobilité, nous proposons aussi le prêt de véhicule.
 ; Les prestations du garage ; Mécanique légère et lourde (embrayage, moteur, etc) ; Entretien véhicules toutes marques ; Carrosserie toutes marques avec agrément garage ou sans agréments ; Filtre à particules ; Rénovation jante et réparation jante alu ; Lundi au vendredi 8h à 12h  ; et de 13h30 à 18h30 ; Pour toutes demandes  ; n'attendez plus cliquer ici ; Nous contacter ; TECHNIFAP ; Le nettoyage de votre filtre dans nos ateliers à partir de 180 ttc selon modèle et année. ; FIXALU ; Le réseau FIXALU met à votre disposition son savoir-faire technologique avec des équipements spécifiques et humain. ; Véhicules d'occasions ; Nos occasions sont visibles sur notre parc sans rendez vous ; Véhicules neufs ; Voir les offres de nos vehicules neufs à Saint Alban. ; Nous restons à votre disposition pour toute  ; demande d’information supplémentaire. ; Rendez-vous dans notre garage pour un entretien automobile  ; ou l'achat d'un véhicule neuf ou d'occasion. ; Nos coordonnées ;  13 Route De Fronton ; 31140 ; SAINT ALBAN ; 
France
 ; 09 70 35 35 87 ; 
Heures d'ouverture
 ; Lun - Ven ; 8h - 12h | 13h30 - 18h30 ; Sam - Dim ; Fermé ; 
À propos
 ; Accueil ; Nous contacter ; Mentions légales ; Plan du site ; 
Nos prestations
 ; Entretien auto ; Nettoyage FAP ; Entretien filtre a particule ; Rénovation jante alu ; Garage Peugeot ; Carrosserie ; Carrosserie / Pare-brise ; 
Suivez-nous
 ; Agence Linkeo à Toulouse ; Garage Peugeot Saint-Alban ; Garage  ; Gatti ; Menu ; Contact ; Plan ; Appel ; Accueil ; Mécanique ; Carrosserie ; TECHNIFAP : Filtre à particules ; FIXALU - Réparation / Rénovation jante alu ; VN / VO ; Nos agréments ; Nos prestations ; Entretien auto ; Nettoyage FAP ; Entretien filtre a particule ; Rénovation jante alu ; Garage Peugeot ; Carrosserie / Pare-brise ; Avis ; Newsletter ; Nous contacter ; Mentions légales ; Plan du site ; 
Garage Gatti
 ;  13 Route De Fronton ; 31140 ; SAINT ALBAN ; 
France
 ; 09 70 35 35 87 ; 
",DiGraph with 237 nodes and 235 edges
http://jaipurhaveli.com,"
 ; Jaipur Haveli - B&B Jaipur - Home ; 
				Home
			 ; 
				About
			 ; 
			History
		 ; 
			Restoration
		 ; 
				Rooms & Suites
			 ; 
				Contact
			 ; A unique experience awaits ; A 200 year old family Haveli in the pink city of Jaipur​ ; ↧ ; Introduction ; Nestled in the old pink city centre of Jaipur. Haveli Patnawala gives you the opportunity to experience a unique stay in our 200 year old haveli, that has been our families home since 1921. Our goal is to make you feel at home in our haveli during your visit to the Pink City. We provide a a relaxed and peaceful atmosphere  ; that you’ll particularly appreciate after a day sightseeing  ; More than just a place to stay. ; A  ; haveli ;  is a traditional townhouse or mansion with inner courtyards, and were frescoes and finely paintwork can be found. Explore our rooms, hallways, courtyards, rooftops and the façade of our haveli to find these beautiful and colorful ancient details. Explore the near bazaars lined visit the nearby tourist destinations such as Hawa Mahal & the city palace. All at just at a 400-meter walk! ; WHAT OUR CUSTOMERS SAy ; rooms ; Haveli Patnawala offers 8 air-conditioned rooms, each of which is unique due to their colorful murals and layout. The rooms offer luxury mattresses and modern private bathrooms.  ; explore rooms ; Our story ; Discover the stories behind our 200 year old haveli and our family who have been living in it since 1920. ""The two brothers who became the most prominent diamond traders in Northern India.""​ ; OUR STORY ; Contact us ; If you have any questions or suggestions, please get in touch with us!  ; email​ ; info@jaipurhaveli.com ; ​phone​ ; ​ ; +91 98290 18833 ; address ; 1404, Patnawalon ki Haveli  ; Tarachand Nayab ka Rasta  ; Johari bazar, Jaipur 302003 ; ​(behind LMB hotel) ; 
				Powered by  ; Create your own unique website with customizable templates. ; Get Started ; 
				Home
			 ; 
				About
			 ; 
			History
		 ; 
			Restoration
		 ; 
				Rooms & Suites
			 ; 
				Contact
			 ; 
",DiGraph with 75 nodes and 74 edges
http://www.bbci.eu,"
 ; Business Barons Club India B.V. ;  Asset, Financial advisory ; Investments & Consultancy
         ; Business Barons Club India B.V. & ; BBCI Financial Advisory ; Contact ; +31 (0)20 24 42 754
           ; info@bbci.eu ; www.bbci.eu ;  © Copyright 2017, 2023 ; The Business Barons Club India B.V., Amsterdam Netherlands ; 
",DiGraph with 17 nodes and 14 edges
